ORDERNUMBER,QUANTITYORDERED*,PRICEEACH,TOTALPRICE,ORDERDATE,STATUS,PRODUCTNAME,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESS,CITY,STATE,POSTALCODE,COUNTRY,DEALSIZE
10312,25,150,3750,10/21/2004 0:00,Shipped,Vintage Cars,S18_1367,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Small
10322,41,150,6150,11-04-2004 00:00,Shipped,Vintage Cars,S18_1367,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,Small
10332,27,150,4050,11/17/2004 0:00,Shipped,Vintage Cars,S18_1367,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,,EC2 5NT,UK,Small
10347,21,150,3150,11/29/2004 0:00,Shipped,Vintage Cars,S18_1367,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,Small
10356,22,150,3300,12-09-2004 00:00,Shipped,Vintage Cars,S18_1367,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,,75508,France,Small
10369,32,150,4800,1/20/2005 0:00,Shipped,Vintage Cars,S18_1367,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,MA,58339,USA,Medium
10381,25,150,3750,2/17/2005 0:00,Shipped,Vintage Cars,S18_1367,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,,USA,Small
10391,42,150,6300,03-09-2005 00:00,Shipped,Vintage Cars,S18_1367,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,NSW,2060,Australia,Medium
10422,25,150,3750,5/30/2005 0:00,In Process,Vintage Cars,S18_1367,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,Small
10106,36,250,9000,2/17/2003 0:00,Shipped,Planes,S18_1662,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,,24100,Italy,Medium
10119,43,250,10750,4/28/2003 0:00,Shipped,Planes,S18_1662,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,,5020,Austria,Medium
10131,21,250,5250,6/16/2003 0:00,Shipped,Planes,S18_1662,Gift Ideas Corp.,2035554407,2440 Pompton St.,Glendale,CT,97561,USA,Small
10143,32,250,8000,08-10-2003 00:00,Shipped,Planes,S18_1662,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA,Medium
10155,38,250,9500,10-06-2003 00:00,Shipped,Planes,S18_1662,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,,21240,Finland,Medium
10167,43,250,10750,10/23/2003 0:00,Cancelled,Planes,S18_1662,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,,S-844 67,Sweden,Medium
10178,42,250,10500,11-08-2003 00:00,Shipped,Planes,S18_1662,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,,31000,France,Medium
10186,32,250,8000,11/14/2003 0:00,Shipped,Planes,S18_1662,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,London,,WA1 1DP,UK,Medium
10198,42,250,10500,11/27/2003 0:00,Shipped,Planes,S18_1662,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,,1227 MM,Philippines,Large
10210,31,250,7750,01-12-2004 00:00,Shipped,Planes,S18_1662,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,Medium
10222,49,250,12250,2/19/2004 0:00,Shipped,Planes,S18_1662,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,CA,91217,USA,Medium
10250,45,250,11250,05-11-2004 00:00,Shipped,Planes,S18_1662,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,Large
10262,49,250,12250,6/24/2004 0:00,Cancelled,Planes,S18_1662,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Medium
10274,41,250,10250,7/21/2004 0:00,Shipped,Planes,S18_1662,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,MA,58339,USA,Medium
10284,45,250,11250,8/21/2004 0:00,Shipped,Planes,S18_1662,"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,,N 0106,Norway,Medium
10296,36,250,9000,9/15/2004 0:00,Shipped,Planes,S18_1662,"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,Hansastr. 15,Munich,,80686,Germany,Medium
10307,39,250,9750,10/14/2004 0:00,Shipped,Planes,S18_1662,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,PA,71270,USA,Large
10316,27,250,6750,11-01-2004 00:00,Shipped,Planes,S18_1662,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,Medium
10327,25,250,6250,11-10-2004 00:00,Resolved,Planes,S18_1662,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,,1734,Denmark,Small
10338,41,250,10250,11/22/2004 0:00,Shipped,Planes,S18_1662,Royale Belge,(071) 23 67 2555,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,Medium
10351,39,250,9750,12-03-2004 00:00,Shipped,Planes,S18_1662,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,,WX3 6FW,UK,Medium
10373,28,250,7000,1/31/2005 0:00,Shipped,Planes,S18_1662,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,,90110,Finland,Small
10386,25,250,6250,03-01-2005 00:00,Resolved,Planes,S18_1662,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Small
10398,33,250,8250,3/30/2005 0:00,Shipped,Planes,S18_1662,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,,51100,France,Medium
10400,34,250,8500,04-01-2005 00:00,Shipped,Planes,S18_1662,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,Medium
10416,24,250,6000,05-10-2005 00:00,Shipped,Planes,S18_1662,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,,42100,Italy,Medium
10326,39,500,19500,11-09-2004 00:00,Shipped,Ships,S700_1138,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,Lule,,S-958 22,Sweden,Small
10339,22,500,11000,11/23/2004 0:00,Shipped,Ships,S700_1138,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Small
10350,46,500,23000,12-02-2004 00:00,Shipped,Ships,S700_1138,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Medium
10373,44,500,22000,1/31/2005 0:00,Shipped,Ships,S700_1138,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,,90110,Finland,Medium
10385,25,500,12500,2/28/2005 0:00,Shipped,Ships,S700_1138,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Small
10396,39,500,19500,3/23/2005 0:00,Shipped,Ships,S700_1138,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Small
10414,37,500,18500,05-06-2005 00:00,On Hold,Ships,S700_1138,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,MA,51003,USA,Small
10105,31,500,15500,02-11-2003 00:00,Shipped,Ships,S700_2610,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,,1734,Denmark,Small
10119,38,500,19000,4/28/2003 0:00,Shipped,Ships,S700_2610,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,,5020,Austria,Small
10129,45,500,22500,06-12-2003 00:00,Shipped,Ships,S700_2610,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,,WX3 6FW,UK,Medium
10143,31,500,15500,08-10-2003 00:00,Shipped,Ships,S700_2610,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA,Small
10154,36,500,18000,10-02-2003 00:00,Shipped,Ships,S700_2610,Boards & Toys Co.,3105552373,4097 Douglas Av.,Glendale,CA,92561,USA,Small
10167,46,500,23000,10/23/2003 0:00,Cancelled,Ships,S700_2610,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,,S-844 67,Sweden,Medium
10177,32,500,16000,11-07-2003 00:00,Shipped,Ships,S700_2610,CAF Imports,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",Madrid,,28023,Spain,Small
10185,39,500,19500,11/14/2003 0:00,Shipped,Ships,S700_2610,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA,Small
